"A.occurrences","B.occurrences","A.coverage","B.coverage"
0,1,59,72
9,14,91,89
1,0,93,86
3,0,77,80
0,1,85,86
1,0,76,60
1,0,88,93
2,0,82,91
2,0,93,82
2,1,80,78
1,0,81,75
0,1,65,78
2,0,87,86
0,1,89,79
34,36,58,79
1,0,87,70
0,1,69,95
1,0,115,76
3,0,89,77
1,0,64,74
1,0,93,91
37,47,83,96
2,0,101,66
2,0,69,92
9,0,99,88
0,1,94,71
1,0,86,84
0,2,89,85
0,2,73,80
0,1,68,78
1,0,85,81
51,34,99,85
1,1,75,72
1,0,93,70
1,0,75,81
1,0,76,94
0,1,80,77
1,0,65,91
0,2,77,81
0,1,69,78
1,0,71,87
0,32,86,99
0,1,107,98
9,22,93,76
0,2,77,76
0,1,90,77
2,0,102,89
53,44,88,86
1,0,83,91
1,0,96,73
2,0,88,82
3,4,84,84
0,17,79,84
0,1,84,62
2,0,85,77
2,0,92,85
0,1,65,73
0,1,90,81
2,0,74,80
4,0,100,83
0,6,79,102
0,1,87,86
0,6,77,78
0,2,96,93
4,0,103,79
1,0,84,79
1,0,75,91
36,39,69,70
0,2,85,59
0,1,76,79
5,0,86,94
0,3,78,93
1,0,88,79
0,1,73,92
0,1,67,77
0,2,92,68
1,0,76,73
15,50,83,95
13,0,86,84
0,19,75,80
1,0,91,62
0,3,84,78
2,3,85,89
0,1,86,75
1,0,82,99
1,0,78,90
0,1,86,80
3,0,74,88
41,40,72,75
2,0,84,78
5,0,82,95
2,0,65,73
34,36,71,85
14,34,68,75
1,0,86,80
0,11,81,71
1,0,89,81
0,1,102,95
41,34,88,76
19,36,91,73
5,0,94,75
0,1,93,79
2,0,89,70
0,1,90,73
1,0,79,73
3,4,94,81
0,1,76,82
1,0,79,83
0,1,85,89
1,4,63,77
1,0,67,71
0,1,88,97
0,1,74,101
1,2,69,97
1,0,94,85
1,0,71,74
41,45,82,88
54,54,101,99
3,0,88,96
0,1,82,74
0,27,74,89
45,40,84,86
1,0,78,92
0,1,96,100
4,3,63,88
34,47,76,90
43,63,81,98
1,0,103,76
0,1,87,83
0,3,80,75
1,0,102,69
1,0,77,84
0,1,83,94
1,0,98,66
0,1,87,84
1,0,89,58
0,7,75,101
1,0,76,81
1,0,84,108
48,38,96,72
0,1,81,83
14,31,92,69
0,2,90,93
39,44,91,79
1,0,70,84
0,1,86,90
1,0,80,74
0,1,81,88
39,40,82,83
0,2,74,83
0,1,88,72
1,0,85,77
0,24,79,93
2,0,99,88
0,9,77,75
1,0,75,99
1,0,81,89
0,11,61,72
0,7,80,88
1,0,87,86
5,0,79,75
3,0,81,85
3,0,90,79
0,2,74,82
2,0,86,75
0,23,98,83
2,0,70,82
1,0,76,71
14,40,79,83
0,3,102,82
0,2,70,93
39,47,77,79
1,0,84,96
2,0,80,91
0,2,87,79
4,0,95,71
28,30,65,75
0,1,77,100
0,2,64,79
1,0,86,83
1,0,89,90
35,49,77,105
1,0,76,78
47,37,85,85
1,0,91,89
1,0,83,79
0,2,87,85
0,1,88,84
2,0,82,69
1,0,108,77
0,1,74,82
0,2,83,79
1,0,70,79
1,0,61,80
0,1,77,79
17,2,68,66
0,1,85,83
0,2,64,91
1,0,95,83
0,1,82,89
48,45,82,81
1,0,97,73
1,0,74,83
0,3,74,98
0,1,101,88
31,40,67,78
0,1,98,75
5,0,86,92
2,0,80,97
0,32,76,99
38,40,75,97
1,0,92,89
1,0,78,86
3,0,85,81
1,0,72,75
0,1,79,77
1,0,81,77
0,1,73,86
0,1,70,71
1,0,79,73
2,0,88,87
1,0,76,73
1,0,90,78
1,0,76,105
0,1,81,82
0,1,78,88
0,2,89,79
0,2,83,105
1,0,85,90
0,1,86,76
2,0,105,88
0,2,86,87
1,0,85,77
1,0,81,84
1,0,73,94
1,0,97,95
1,0,96,87
1,0,73,92
34,40,78,91
0,1,68,90
1,0,78,100
1,0,103,93
0,2,81,82
0,1,79,106
5,0,99,83
0,2,80,84
0,3,85,76
1,0,96,83
1,0,81,86
1,0,90,93
51,43,94,91
0,2,79,71
43,46,106,77
47,47,89,97
1,0,85,76
1,0,72,92
45,32,84,68
5,0,105,94
1,0,90,98
0,1,78,82
40,45,78,86
1,0,81,81
1,0,76,75
0,24,88,73
1,0,71,79
1,0,97,81
1,0,81,82
0,1,93,95
1,0,92,84
2,0,62,92
0,1,81,80
6,0,67,101
0,2,86,71
2,0,95,95
3,4,82,88
1,0,82,81
1,0,72,81
1,0,105,74
0,1,83,89
0,1,84,77
1,0,82,76
1,0,75,74
2,0,86,79
3,0,76,67
0,2,76,68
0,1,78,78
0,1,93,75
0,2,74,79
1,0,79,74
50,31,107,89
1,0,75,85
2,0,92,77
44,38,82,91
0,1,89,83
0,1,81,98
0,4,85,88
3,0,82,71
1,0,68,99
1,0,85,76
3,0,67,79
0,1,76,69
38,45,77,90
0,2,91,65
0,13,87,87
0,6,72,92
1,0,82,83
1,0,85,93
0,1,79,76
0,1,85,89
3,1,83,98
47,56,90,98
1,0,72,74
5,0,73,87
1,0,79,80
1,0,84,70
1,0,79,81
0,1,73,96
0,1,84,85
1,0,88,83
0,12,81,75
1,0,88,91
0,2,59,83
1,0,84,93
1,0,76,79
0,1,84,100
1,0,82,69
2,0,86,93
1,0,80,80
7,0,76,75
0,1,97,71
0,1,76,85
2,0,84,75
1,0,76,77
3,0,79,89
0,1,80,88
1,0,87,90
1,0,82,86
1,0,77,99
2,0,70,90
0,13,74,78
0,1,71,77
1,0,93,82
1,0,77,89
5,0,87,90
0,22,82,84
0,3,88,92
2,5,80,96
1,0,92,82
7,0,70,63
1,0,76,95
9,26,92,64
0,2,95,88
0,4,86,97
1,0,86,82
1,0,82,73
0,1,73,102
0,1,80,77
1,0,96,74
0,3,91,72
0,1,71,91
12,19,75,98
0,21,79,94
2,0,82,65
1,0,87,87
2,0,87,79
12,40,72,70
1,0,94,78
1,0,91,87
3,0,80,84
0,17,90,86
1,0,97,86
0,1,79,70
4,0,93,75
0,1,79,73
0,1,74,84
6,0,66,104
1,0,76,67
3,0,78,73
3,0,79,85
12,48,68,86
0,1,72,105
1,0,65,94
0,1,89,84
37,44,70,85
2,0,76,89
44,51,85,90
41,31,77,67
12,1,79,79
41,42,92,103
0,1,89,86
1,0,91,72
1,0,76,71
0,6,88,94
1,0,90,83
0,21,73,77
1,0,78,65
1,0,75,81
0,3,72,99
0,1,76,68
24,5,83,100
0,1,89,82
2,0,94,90
1,0,79,77
1,0,80,86
1,0,80,114
0,1,51,89
0,1,86,90
0,1,98,87
1,0,54,80
1,0,82,98
0,1,80,87
1,0,95,86
1,0,81,84
1,0,88,70
43,44,82,87
0,2,85,104
0,2,89,78
0,1,66,75
1,0,82,77
0,1,101,92
9,0,99,95
1,0,73,87
2,5,92,80
5,0,80,91
1,0,92,92
40,54,75,99
1,0,83,71
9,0,80,69
2,0,90,75
41,27,87,78
0,1,69,81
2,0,83,81
0,1,98,78
2,0,73,80
0,1,78,65
1,0,95,91
0,1,82,84
1,0,98,82
0,1,87,96
1,0,84,93
9,42,67,89
1,0,86,77
0,5,79,90
0,15,82,78
1,0,74,80
0,2,88,98
14,3,86,92
0,1,83,90
2,0,97,78
41,45,78,85
1,0,86,71
1,0,80,86
1,0,92,82
0,2,104,88
45,40,85,81
0,1,87,88
1,0,87,78
0,1,65,86
1,0,85,92
32,45,84,84
0,1,83,90
1,0,85,85
0,1,83,79
0,1,88,80
0,1,73,94
2,5,76,79
0,27,81,82
0,1,86,91
0,17,80,89
1,0,82,86
2,0,93,85
3,0,91,104
1,0,93,89
0,3,89,99
1,0,74,86
0,1,93,97
5,0,76,89
1,0,90,89
0,32,75,84
0,1,69,96
37,35,74,74
0,2,75,58
0,4,75,90
1,0,74,87
4,0,109,83
1,0,92,89
0,19,93,79
0,1,89,72
1,0,89,79
8,3,87,66
1,0,78,81
0,2,76,87
0,1,89,73
5,0,90,87
0,6,73,74
2,0,73,98
0,2,98,86
2,0,68,89
1,0,86,74
2,0,101,91
0,1,87,81
0,1,98,70
0,4,84,77
1,0,72,84
0,1,91,75
48,41,106,95
0,20,80,98
1,0,96,76
1,0,73,81
0,1,86,79
1,0,88,88
0,3,90,80
1,0,79,70
0,1,91,84
3,0,86,79
0,2,91,88
1,0,74,92
3,1,89,79
1,0,93,81
0,3,81,86
0,1,74,86
1,0,86,71
34,35,73,83
2,0,74,90
40,44,86,85
42,48,87,81
1,0,87,96
3,0,74,80
3,2,76,78
3,0,90,89
0,1,76,82
1,0,77,105
1,0,86,73
5,0,90,69
0,1,83,100
3,0,90,95
0,2,81,91
1,0,74,90
0,1,95,88
2,0,89,96
1,0,77,81
1,0,67,98
1,0,80,68
1,0,79,79
1,0,83,85
1,0,90,82
1,0,85,96
0,1,103,69
1,0,69,102
1,0,81,88
1,0,78,87
0,1,87,92
2,0,71,88
0,11,86,86
2,0,92,96
1,0,96,88
3,5,83,101
2,0,87,79
0,1,84,83
34,50,67,91
1,0,81,82
53,42,95,84
1,0,90,81
0,3,89,63
0,3,74,81
51,33,94,69
1,0,71,79
4,0,71,73
1,0,95,76
4,3,86,87
0,1,88,89
1,0,80,81
0,4,60,79
1,0,77,84
0,1,79,69
44,42,84,78
2,0,86,75
2,0,102,68
30,40,88,90
1,0,76,72
2,0,83,82
0,4,86,96
0,1,87,79
0,1,76,94
0,2,66,87
0,1,87,98
2,0,87,74
1,0,80,88
1,0,95,75
0,8,76,89
1,0,82,81
1,0,77,81
1,0,73,85
40,37,82,69
5,0,78,86
2,0,82,91
2,0,74,91
0,2,84,86
1,0,100,78
1,0,93,84
9,45,77,93
44,36,101,68
0,1,81,81
1,0,72,85
0,1,64,69
2,0,81,73
2,0,89,67
0,2,81,106
0,2,76,92
2,0,89,90
0,2,65,77
50,43,100,80
0,1,83,93
1,0,86,80
0,2,89,82
1,0,88,82
1,0,91,75
1,0,81,94
2,0,83,79
1,0,97,74
1,0,86,78
3,0,88,79
0,1,93,84
1,0,60,75
0,1,87,83
5,0,84,77
54,50,98,92
4,0,78,81
1,0,73,76
13,48,76,92
1,0,91,78
1,0,89,80
4,0,77,71
1,0,101,77
2,0,83,79
4,0,81,75
1,0,71,66
1,0,78,99
0,18,89,95
1,0,80,91
1,0,87,94
0,6,81,83
0,1,82,83
0,1,73,65
0,4,77,102
0,4,84,80
1,0,79,80
1,0,94,82
1,0,79,93
3,0,81,71
0,1,89,83
1,0,77,73
1,0,99,98
1,0,75,84
1,0,77,75
2,0,92,84
0,1,87,70
1,0,79,78
37,42,89,73
1,0,92,92
1,0,88,95
1,0,88,102
1,0,81,82
3,0,81,77
0,1,95,88
44,35,86,74
37,36,83,86
0,35,74,84
1,0,81,77
1,0,85,89
5,0,76,99
0,1,84,88
2,0,83,92
49,41,89,76
0,1,70,87
1,0,82,87
0,1,72,77
0,1,88,85
2,0,56,83
1,1,72,94
0,2,84,82
2,0,85,87
1,0,96,87
2,0,83,89
1,0,87,96
0,1,80,82
1,0,86,70
3,0,70,78
5,0,91,92
1,0,87,85
0,12,80,63
1,0,87,66
7,0,92,99
0,2,75,80
0,4,72,73
0,1,69,88
1,0,76,80
1,0,84,69
0,4,81,77
0,21,75,78
0,1,89,74
7,0,87,82
1,0,72,88
0,2,94,107
1,0,105,78
2,0,81,79
0,5,82,85
0,1,88,93
1,0,76,75
1,0,86,93
41,53,81,88
1,0,81,84
1,0,68,85
0,1,95,85
0,1,87,83
0,1,83,82
39,50,76,91
7,1,80,88
2,0,72,70
2,0,85,80
3,0,95,86
13,34,92,82
1,0,95,76
2,0,76,73
0,1,74,84
0,1,94,79
1,0,77,88
2,1,78,98
1,0,96,79
0,1,89,78
0,1,90,73
2,0,74,66
0,3,103,80
1,0,74,76
45,39,90,72
1,0,86,99
1,0,85,85
1,0,102,99
43,33,87,78
0,2,102,77
1,0,86,81
0,2,86,88
0,22,83,86
0,2,80,74
7,14,74,74
0,1,92,75
2,0,82,72
2,0,75,72
1,0,88,85
1,0,91,73
5,12,91,74
0,1,89,61
7,0,85,84
1,0,94,96
3,0,88,81
0,4,79,82
2,0,84,73
1,0,81,94
1,0,84,92
1,0,70,93
1,0,93,83
0,7,85,73
0,1,79,95
1,0,78,84
1,0,76,73
0,2,93,73
42,39,95,77
39,48,83,82
45,37,82,78
36,41,85,76
0,1,78,85
1,0,69,71
34,44,71,87
0,3,68,69
3,0,86,84
2,0,83,74
0,1,76,57
1,0,74,90
1,0,73,83
1,0,71,82
1,0,83,86
0,1,75,90
1,0,92,79
3,5,78,80
1,0,77,79
3,0,84,90
1,0,100,89
1,0,82,78
1,0,74,80
0,1,85,75
3,0,94,86
0,2,76,90
4,0,79,95
1,0,90,82
1,0,76,77
3,0,99,80
0,3,62,91
3,0,93,84
0,1,72,87
0,1,78,77
0,6,106,73
1,0,86,102
1,0,81,78
1,0,88,86
53,52,98,97
10,2,84,81
0,22,88,70
1,0,81,81
1,0,78,90
3,0,84,76
0,2,83,82
7,0,93,86
0,1,82,71
50,53,102,89
3,0,80,76
48,45,104,83
0,1,90,91
0,1,86,98
12,37,77,94
32,56,65,81
0,1,92,91
2,0,78,87
2,0,73,82
2,0,90,79
2,0,96,98
0,1,83,78
0,1,83,79
0,1,67,62
0,1,88,89
4,0,71,83
1,0,95,88
2,0,92,79
5,0,88,88
0,1,80,92
12,35,89,82
1,0,101,91
0,1,82,83
0,1,89,90
0,1,97,81
0,1,96,98
0,1,77,90
2,0,100,83
48,42,85,87
1,0,77,66
0,1,72,70
0,1,73,79
2,0,88,83
0,10,89,80
0,1,77,72
0,1,90,81
2,0,93,77
2,0,73,96
0,1,86,90
0,1,84,79
5,0,96,78
0,1,60,74
49,40,92,82
2,0,86,87
0,1,87,85
2,0,96,75
0,1,72,82
2,0,108,89
0,1,85,76
1,0,78,81
0,11,77,75
1,0,77,81
2,0,85,101
2,0,95,97
1,0,83,81
2,0,90,88
5,0,81,77
0,1,75,80
1,0,87,91
1,0,88,82
1,0,89,77
2,0,82,89
0,1,80,80
0,1,81,84
0,1,84,80
0,1,85,89
1,0,67,89
0,1,83,70
0,1,90,87
0,3,83,81
0,1,88,83
0,4,87,77
0,2,88,96
1,0,76,75
1,0,85,77
1,0,80,74
0,1,77,74
0,2,78,77
1,0,70,97
0,6,71,99
1,0,72,87
0,10,75,87
1,0,95,76
0,10,79,93
1,0,78,78
2,0,76,87
1,0,84,81
1,0,79,75
1,0,87,86
1,0,70,88
0,9,85,86
2,0,87,89
0,1,82,88
4,0,91,80
0,5,78,75
30,34,68,68
5,0,88,79
0,2,93,80
3,0,88,89
0,1,84,65
0,1,85,63
4,0,80,83
2,0,87,89
3,0,71,86
49,41,85,79
1,0,79,78
1,0,83,84
1,0,89,90
0,1,93,87
1,0,86,87
1,0,68,102
3,0,88,99
11,49,95,95
0,2,86,77
0,15,71,84
0,2,95,81
1,0,81,65
1,0,89,84
0,2,73,73
0,1,74,88
2,0,79,85
1,0,95,89
8,0,78,78
1,0,75,97
0,8,89,72
2,0,91,55
0,1,87,83
2,0,88,78
1,0,87,82
34,45,83,76
1,0,87,89
1,0,89,62
41,45,83,72
1,0,79,85
1,0,77,107
4,0,71,65
1,0,65,79
1,0,68,83
1,0,84,75
18,37,79,83
40,46,71,90
1,0,69,81
1,0,82,86
1,0,99,79
1,0,74,81
2,0,71,80
1,0,73,69
1,0,87,92
41,36,82,81
0,1,83,79
0,1,87,90
2,0,87,69
1,0,65,68
1,0,69,88
0,5,65,86
0,1,80,89
16,52,67,103
0,1,81,86
2,0,75,79
18,37,94,77
0,12,88,91
3,0,82,90
1,0,80,78
1,0,79,88
5,0,79,89
1,0,88,98
0,1,99,82
0,1,70,78
0,15,76,90
6,36,89,85
1,0,72,73
1,0,106,79
0,1,89,80
0,1,78,78
0,1,88,73
0,2,84,83
0,1,71,92
0,1,94,72
2,0,102,84
1,0,85,84
0,1,98,86
0,1,84,82
1,0,83,87
1,0,103,72
38,41,81,78
2,0,84,73
0,3,72,73
0,1,87,70
3,0,87,69
2,0,76,90
0,1,81,83
1,0,77,82
1,0,92,87
2,0,80,95
0,1,68,86
2,0,91,80
36,41,77,90
40,47,84,99
2,0,84,77
1,0,85,74
0,7,82,80
39,41,70,92
0,1,88,82
1,0,70,95
0,7,107,75
3,0,83,71
1,0,73,74
1,0,75,73
0,1,101,80
2,0,99,83
2,0,78,78
8,0,74,99
5,0,100,93
3,0,84,96
1,0,95,83
0,1,90,87
4,0,100,93
0,7,94,94
1,0,94,100
4,2,88,90
0,2,96,78
57,44,93,92
3,0,72,80
25,43,90,95
2,0,59,98
1,0,79,86
49,38,88,67
32,42,66,89
5,0,86,78
1,0,79,74
0,1,87,89
1,1,89,81
2,0,88,77
33,41,80,81
1,0,88,64
1,0,84,85
2,0,86,84
1,0,89,89
1,0,85,77
11,2,86,89
0,1,81,90
2,0,80,82
0,1,63,80
1,0,94,79
0,3,84,73
1,0,71,79
0,2,107,82
1,0,79,103
0,1,97,72
0,1,79,78
1,0,69,83
1,0,74,81
1,0,77,97
1,0,93,84
0,1,80,83
1,0,85,79
2,0,90,81
0,1,110,84
2,0,81,96
2,0,81,73
1,0,75,67
2,0,78,87
44,53,86,104
0,10,82,71
59,51,97,85
1,0,76,100
1,0,96,82
0,1,101,77
2,0,75,91
0,1,86,87
2,0,81,72
0,2,82,84
4,0,80,77
48,32,83,73
2,0,79,82
2,0,88,75
0,5,87,84
1,0,80,80
1,0,84,72
1,0,77,70
2,0,94,63
1,0,101,72
4,0,90,100
1,0,95,85
0,3,85,86
3,0,91,64
0,1,79,85
1,0,76,78
0,1,84,80
2,0,78,92
1,0,88,83
2,0,99,71
2,0,91,73
1,0,65,88
33,42,66,88
1,0,88,71
0,1,86,83
1,0,98,57
5,0,81,87
0,4,88,97
1,0,102,78
1,0,70,90
34,38,88,79
1,0,77,94
0,1,79,83
0,1,80,81
3,0,82,72
1,0,79,91
2,0,80,83
0,3,84,86
1,0,70,79
1,0,73,76
0,9,76,81
1,0,83,82
55,40,90,93
1,0,88,75
0,2,85,95
0,14,89,83
0,1,83,103
2,0,67,77
0,9,75,80
0,1,70,74
1,0,93,78
0,1,92,90
0,26,89,81
0,1,81,74
1,0,83,83
7,0,86,97
1,0,90,71
0,1,66,70
3,0,90,64
0,2,89,80
0,1,78,72
1,0,100,85
2,0,101,89
2,0,93,81
1,0,66,79
49,48,92,85
2,0,89,69
1,0,79,81
37,39,72,85
50,54,84,93
1,0,73,65
1,0,72,74
0,19,83,85
0,2,91,86
1,0,87,88
0,2,73,86
1,0,77,85
2,0,91,84
0,1,77,75
3,2,86,83
1,0,92,69
1,0,84,88
0,1,76,81
1,0,86,78
0,1,90,68
0,1,67,81
49,37,96,85
1,0,82,86
0,2,89,91
36,51,69,88
1,0,91,84
0,2,81,84
47,52,74,86
0,1,102,95
37,46,85,83
0,16,91,85
0,2,68,79
1,0,72,80
0,15,73,89
1,0,81,70
12,0,95,82
1,0,90,89
1,0,77,83
1,0,84,89
39,38,81,85
1,0,87,80
6,0,81,84
0,1,76,86
2,0,73,68
43,41,76,85
1,0,93,91
0,1,71,72
0,1,89,81
0,1,83,95
1,0,91,79
1,0,64,90
0,1,85,73
1,0,96,69
2,0,83,97
0,1,92,88
11,43,78,84
2,0,68,80
2,0,104,71
1,0,70,93
2,0,85,82
0,1,74,72
0,1,92,80
1,0,72,98
6,0,91,79
3,0,66,82
1,3,81,86
36,44,74,83
41,40,84,77
1,0,89,95
1,0,89,74
2,0,68,82
1,0,77,76
40,37,82,77
1,0,90,88
0,1,88,96
0,1,84,72
2,0,78,76
3,0,85,66
0,1,90,102
3,0,81,75
1,0,74,97
0,1,81,85
0,1,81,75
0,13,63,71
5,16,88,92
1,0,81,80
1,0,74,67
2,0,95,86
1,0,83,77
1,0,85,88
1,0,93,78
4,0,86,93
0,21,82,89
0,1,85,88
0,2,81,82
0,12,100,81
6,0,62,77
0,1,76,92
1,0,91,85
3,0,77,95
0,2,89,80
2,0,93,80
1,0,92,81
2,0,74,75
1,0,86,64
1,0,94,78
0,2,82,95
0,1,80,78
0,1,73,82
0,2,86,77
1,0,95,82
47,30,86,64
1,0,86,76
47,20,91,62
1,0,95,77
0,1,94,83
0,3,85,78
0,1,89,78
0,1,79,96
1,0,80,69
0,8,70,72
1,0,79,75
1,0,92,78
1,0,80,90
3,0,77,84
0,1,84,84
0,2,75,78
0,5,70,95
0,1,86,72
1,0,64,74
1,0,81,61
2,0,96,81
2,0,73,82
2,0,76,89
1,0,101,81
0,4,98,72
1,0,78,85
0,1,74,87
2,0,79,81
0,2,68,88
44,55,77,102
1,0,68,89
44,43,100,90
2,0,76,76
2,0,72,67
1,0,97,79
51,43,93,83
1,0,66,86
31,41,70,85
4,0,78,83
2,0,84,71
22,32,84,66
2,0,91,78
1,0,83,104
2,0,92,104
0,1,101,98
1,0,75,91
1,0,103,74
1,0,94,78
0,1,68,77
1,0,83,88
4,0,75,79
0,3,90,81
0,3,74,90
1,0,63,81
0,1,73,79
1,0,89,86
0,1,85,69
1,0,81,91
26,4,96,91
0,5,80,75
1,0,87,93
1,0,77,80
1,0,68,85
2,0,75,67
2,0,86,83
1,0,82,75
33,43,60,80
0,23,74,87
41,35,88,68
1,0,76,93
1,0,91,90
1,0,70,93
2,0,89,82
2,1,87,90
3,0,73,67
0,1,78,100
1,0,81,79
1,0,78,102
0,1,83,99
1,0,81,89
0,1,80,74
1,0,78,73
0,2,84,92
0,3,93,82
0,2,89,74
1,0,74,81
2,0,99,93
1,0,84,94
1,0,81,84
0,1,84,83
3,17,83,74
0,1,77,99
1,0,80,87
2,0,70,89
1,0,93,66
3,0,92,96
2,0,91,99
0,9,76,72
36,49,68,87
0,1,90,84
2,0,71,68
1,0,76,87
3,0,72,74
39,37,81,76
1,0,68,68
4,0,106,102
14,39,72,81
0,1,82,90
0,1,98,98
0,1,82,80
1,0,87,81
1,0,87,86
0,2,72,76
1,0,82,79
0,3,93,91
0,1,73,78
37,41,85,99
1,0,84,78
1,0,84,84
36,33,73,65
0,1,86,79
2,0,96,80
38,39,79,75
0,1,79,83
1,0,87,95
39,37,78,83
32,43,84,90
36,40,72,81
4,0,94,74
0,2,82,69
1,4,91,94
0,1,71,79
1,0,78,68
0,2,100,81
3,0,82,84
1,0,89,89
3,0,80,91
47,44,86,85
1,0,87,83
1,2,88,99
1,0,99,89
1,0,72,76
0,4,66,83
39,33,75,72
0,2,66,78
1,0,83,78
4,0,90,85
0,1,92,80
2,0,90,82
1,0,70,98
1,0,72,88
3,0,84,79
33,35,64,85
1,0,99,83
54,34,108,76
47,54,91,90
0,26,88,77
1,0,96,95
1,0,90,77
6,0,95,97
1,0,104,98
0,16,76,87
1,0,82,86
0,7,82,77
0,1,87,93
0,11,77,85
1,0,97,101
0,23,82,74
2,2,81,89
1,0,73,78
1,0,80,78
4,0,82,70
1,0,85,83
2,0,88,70
0,15,62,82
9,1,77,70
1,0,67,85
1,5,80,72
0,15,71,74
0,14,76,91
0,1,86,85
49,45,84,85
1,0,71,84
1,0,88,81
1,0,89,85
1,22,83,76
2,0,97,81
0,1,82,73
1,0,96,74
5,0,80,78
0,1,74,72
43,30,96,71
1,0,85,65
5,2,74,85
0,1,75,83
3,0,75,83
0,1,87,83
0,1,76,86
0,1,95,76
2,0,97,88
2,0,76,53
5,0,77,90
3,0,83,81
2,0,75,77
1,0,78,85
0,1,88,88
0,1,91,95
0,2,98,98
0,1,87,67
45,41,86,87
0,1,74,75
0,1,95,75
0,1,76,84
2,0,83,77
0,1,90,95
0,9,82,74
2,0,86,81
0,1,87,78
0,1,81,89
7,0,86,83
0,1,97,78
4,0,97,85
34,40,72,78
1,0,87,84
0,1,82,93
0,1,79,98
0,8,75,74
0,25,77,75
1,0,97,69
1,0,85,83
0,13,89,90
0,2,80,84
2,0,91,78
2,0,94,70
2,0,93,86
0,2,68,75
37,44,70,89
0,1,84,103
2,0,62,79
1,0,91,83
33,36,92,78
0,3,92,76
3,0,70,78
0,21,86,86
1,0,86,72
0,1,85,102
14,45,79,74
1,0,82,81
2,0,94,79
0,1,78,86
1,0,80,81
0,7,86,80
2,0,105,80
1,0,68,83
0,1,89,64
1,0,81,79
1,0,81,88
1,0,97,80
0,3,85,94
1,0,73,97
3,0,75,71
2,0,70,72
1,0,75,78
0,2,80,88
1,0,76,83
1,0,97,92
3,9,85,63
43,37,89,78
0,17,82,94
0,1,74,85
0,2,96,82
2,0,70,96
0,1,80,66
1,2,83,76
2,0,83,76
2,0,85,70
47,41,91,73
52,29,95,69
44,34,77,74
1,0,94,85
1,0,83,94
1,0,83,76
0,1,77,83
0,1,99,91
1,0,89,78
1,0,88,62
1,0,79,81
1,0,86,94
2,0,80,88
3,0,82,82
0,1,99,82
1,0,71,93
44,36,90,73
1,0,89,100
0,1,82,101
0,20,71,71
0,1,72,73
5,0,85,81
2,0,74,82
5,0,80,92
3,0,71,78
4,0,89,89
0,1,79,127
0,1,78,81
0,3,83,91
0,3,94,93
1,0,88,90
1,0,78,85
1,0,83,82
1,0,89,84
3,0,74,72
0,1,88,96
11,0,91,79
2,1,89,79
4,23,85,94
1,0,73,90
0,1,88,86
45,44,81,89
1,0,100,90
1,0,101,79
3,0,72,86
0,1,77,79
1,0,89,87
1,0,89,71
0,2,86,108
1,0,99,85
0,1,97,94
0,5,88,89
2,0,95,87
2,0,78,93
1,0,74,71
0,1,85,83
0,1,78,99
0,1,82,96
1,0,90,77
0,1,78,74
1,0,99,81
1,0,66,94
0,1,80,73
1,0,78,72
0,2,86,81
33,1,91,89
4,0,81,90
44,37,95,72
0,2,95,83
0,1,80,89
0,3,84,74
2,0,71,69
2,0,90,82
0,2,93,90
0,2,81,94
5,1,84,84
0,2,89,74
4,0,91,83
1,0,92,92
2,0,77,84
0,1,67,72
0,1,101,73
1,0,82,96
1,0,80,71
2,0,82,78
0,1,84,95
0,2,79,82
0,1,97,90
1,0,74,82
0,13,92,88
1,0,65,88
39,49,75,103
5,0,75,90
4,0,81,88
0,1,93,89
8,0,74,73
1,0,87,74
0,1,78,79
1,0,82,93
0,1,84,91
42,41,83,79
30,37,76,80
0,1,80,84
0,3,90,73
0,23,81,70
0,1,73,84
0,1,81,68
1,0,62,98
0,1,80,90
1,0,90,72
1,0,94,83
0,2,86,86
1,0,87,87
1,0,90,88
0,5,97,91
1,0,82,96
35,37,68,57
0,1,95,93
0,11,83,82
3,0,76,81
0,2,72,98
3,0,82,92
1,0,94,76
3,0,81,97
0,1,75,73
1,0,71,79
0,8,79,75
3,0,94,78
1,0,84,87
15,39,79,90
5,0,93,67
0,25,78,80
0,3,82,85
13,37,72,76
1,0,78,96
1,0,91,84
1,0,94,98
0,1,85,89
0,2,82,77
0,1,86,72
0,1,89,85
34,46,82,77
2,0,69,79
1,0,88,87
1,0,76,74
2,0,61,99
0,1,99,79
4,0,84,64
0,1,84,83
1,0,83,91
46,43,81,85
0,1,76,82
1,0,88,80
38,40,93,76
1,0,84,84
1,0,76,76
6,0,98,92
0,25,70,66
1,0,99,79
1,0,71,78
1,0,68,100
40,48,80,96
0,2,81,95
39,45,97,85
1,0,78,68
2,0,78,86
0,2,79,71
33,46,76,89
46,40,84,81
0,4,71,105
0,1,79,94
1,0,71,87
0,1,89,93
1,0,93,95
1,0,89,84
0,23,89,72
2,0,79,71
0,1,68,84
0,2,80,109
1,0,89,75
15,34,77,80
0,4,89,91
0,1,68,76
1,0,90,79
2,0,90,89
38,35,79,75
0,1,91,88
0,1,70,96
1,0,85,76
1,0,81,64
1,0,83,87
46,38,80,88
1,0,82,84
2,0,81,64
3,0,83,94
0,1,77,89
1,0,83,84
0,21,85,71
0,1,70,73
41,49,88,85
43,37,73,75
1,0,84,79
40,38,80,90
1,0,97,75
0,9,82,95
2,0,95,93
0,7,85,70
1,0,95,91
